s 	l 	c 	status	ped	ped_rms	gain_pc	gain_mv	thr_npe	mips_e	mips_q	t_offset	t_rms	
1	1	1	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
1	1	2	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
1	1	3	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
1	1	4	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
1	1	5	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
1	1	6	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
1	1	7	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
1	1	8	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
1	1	9	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
1	2	1	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
1	2	2	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
1	2	3	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
1	2	4	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
1	2	5	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
1	2	6	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
1	2	7	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
1	2	8	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
1	2	9	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	1	1	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	2	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	3	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	4	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	5	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	6	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	7	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	8	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	9	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	10	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	11	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	12	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	13	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	14	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	15	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	16	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	17	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	18	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	19	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	1	20	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
2	2	1	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	2	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	3	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	4	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	5	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	6	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	7	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	8	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	9	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	10	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	11	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	12	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	13	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	14	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	15	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	16	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	17	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	18	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	19	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
2	2	20	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
3	1	1	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
3	1	2	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
3	1	3	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
3	1	4	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
3	1	5	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
3	1	6	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
3	1	7	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
3	1	8	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
3	1	9	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
3	2	1	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
3	2	2	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
3	2	3	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
3	2	4	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
3	2	5	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
3	2	6	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
3	2	7	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
3	2	8	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
3	2	9	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	1	1	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	2	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	3	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	4	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	5	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	6	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	7	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	8	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	9	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	10	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	11	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	12	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	13	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	14	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	15	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	16	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	17	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	18	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	19	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	1	20	3	200.0	10.0	20.0	0.0	2.5	1.2	0.0	0.0	0.0	
4	2	1	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	2	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	3	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	4	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	5	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	6	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	7	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	8	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	9	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	10	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	11	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	12	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	13	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	14	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	15	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	16	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
4	2	17	3	200.0	10.0	20.0	0.0	2.5	2.65	0.0	0.0	0.0	
